Time_to_freq_transform      Range_x:  1.0 100000.00000000314
Freq_point:  0.188916618754933          transform_err:  6.338858327126218e-09
Freq_point:  0.596185083472949          transform_err:  3.2615530964896777e-07
Freq_point:  1.09771878826088          transform_err:  1.24254633748766e-06
Freq_point:  1.77725275197396          transform_err:  2.4661010752935475e-06
Freq_point:  2.75410036343034          transform_err:  3.459737490413284e-06
Freq_point:  4.20774612335241          transform_err:  3.8666497075012796e-06
Freq_point:  6.41672527199106          transform_err:  3.6760689639397937e-06
Freq_point:  9.82198760064326          transform_err:  3.1057173019120865e-06
Freq_point:  15.131996317599          transform_err:  2.5643190182528253e-06
Freq_point:  23.4995566780628          transform_err:  2.2843940914382688e-06
Freq_point:  36.8234002615115          transform_err:  1.938322221364114e-06
Freq_point:  58.2696959988998          transform_err:  1.581628286433795e-06
Freq_point:  93.1870306208526          transform_err:  1.2488912361392768e-06
Freq_point:  150.736739033527          transform_err:  9.557458775389521e-07
Freq_point:  246.846660463315          transform_err:  7.093851912163759e-07
Freq_point:  409.660163951917          transform_err:  5.102679493966186e-07
Freq_point:  689.788398295169          transform_err:  3.543031215915652e-07
Freq_point:  1180.02119385035          transform_err:  2.357444480508529e-07
Freq_point:  2054.13923005597          transform_err:  1.4841367384469013e-07
Freq_point:  3645.40617839762          transform_err:  8.713283367099787e-08
Freq_point:  6610.22733864684          transform_err:  4.961787308061324e-08
Freq_point:  12282.2194626706          transform_err:  3.42276217175222e-08
Freq_point:  23479.1618425313          transform_err:  7.342137478536962e-09
Freq_point:  46536.4977829387          transform_err:  4.112152750754486e-08
Freq_point:  97988.005994822          transform_err:  9.349094897858629e-08
Freq_point:  248271.716270506          transform_err:  7.304578678866374e-08
Finish!
